,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
166,Karaton,ID,1614148458,-6.3424,106.1045,84.2,70,40,13.8
167,Hörstel,DE,1614148458,52.3167,7.5833,51.01,81,0,5.75
168,Cabo San Lucas,MX,1614148323,22.8909,-109.9124,60.01,65,100,5.03
169,Hithadhoo,MV,1614148459,-0.6,73.0833,83.12,71,100,8.46
170,Fortuna,US,1614148459,40.5982,-124.1573,46.99,81,90,12.66
171,Seoul,KR,1614148400,37.5683,126.9778,50.0,13,0,6.91
172,Salāya,IN,1614148459,22.3167,69.6,81.81,39,0,9.4
173,Son La,VN,1614148454,21.3167,103.9,80.98,53,98,3.56
174,Cockburn Town,TC,1614148460,21.4612,-71.1419,76.98,79,6,17.83
175,Nara,JP,1614148460,34.6851,135.8049,50.0,27,40,10.36
176,Nelson Bay,AU,1614148460,-32.7167,152.15,72.0,88,90,8.05
177,Poum,NC,1614148461,-20.2333,164.0167,83.28,68,34,8.34
178,Mar del Plata,AR,1614148365,-38.0023,-57.5575,60.01,88,0,7.16
179,Broken Hill,AU,1614148428,-31.95,141.4333,75.2,19,1,16.11
180,Clyde River,CA,1614148191,70.4692,-68.5914,-4.0,77,90,19.57
181,Ternate,ID,1614148462,0.8,127.4,83.35,72,89,10.56
182,Mollendo,PE,1614148462,-17.0231,-72.0147,69.06,75,93,5.73
183,Marawi,PH,1614148462,7.9986,124.2928,84.0,78,29,5.01
184,Flagstaff,US,1614148462,35.1981,-111.6513,34.0,55,1,4.63
185,Ponta do Sol,PT,1614148463,32.6667,-17.1,60.01,82,25,1.99
186,Tezu,IN,1614148463,27.9167,96.1667,88.09,19,0,5.03
187,Khasan,RU,1614148463,42.4308,130.6434,27.43,80,2,5.91
188,Bairiki Village,KI,1614148463,1.3292,172.9752,82.4,78,75,10.36
189,Log,RU,1614148463,49.4844,43.8613,-4.72,74,0,10.22
190,Pangnirtung,CA,1614148464,66.1451,-65.7125,21.2,73,90,10.36
191,Pangai,TO,1614148464,-19.8,-174.35,80.6,89,40,10.36
192,Camocim,BR,1614148464,-2.9022,-40.8411,75.16,91,100,6.33
193,Kishorganj,BD,1614148280,24.4333,90.7667,88.23,24,0,3.24
194,Souillac,MU,1614148465,-20.5167,57.5167,84.2,61,75,11.5
195,Salalah,OM,1614148187,17.0151,54.0924,78.8,65,0,2.3
196,Wajid,SO,1614148465,3.8093,43.2471,84.29,42,87,16.71
197,Luancheng,CN,1614148465,37.8792,114.6517,41.0,48,100,4.47
198,Yellowknife,CA,1614148465,62.456,-114.3525,-9.0,77,40,3.44
199,Hualmay,PE,1614148466,-11.0964,-77.6139,70.21,74,39,5.37
200,Fuxin,CN,1614148466,42.0156,121.6589,36.99,64,0,9.55
201,Calamar,CO,1614148466,10.2511,-74.9146,78.8,89,40,9.22
202,Tromsø,NO,1614148466,69.6496,18.957,33.01,86,0,5.75
203,Beringovskiy,RU,1614148466,63.05,179.3167,-12.23,89,100,18.72
204,Somers Point,US,1614148467,39.3176,-74.5946,42.8,56,1,8.05
205,Province of Mantua,IT,1614148467,45.1667,10.7833,43.0,100,0,3.44
206,Isfana,KG,1614148467,39.8386,69.5306,39.2,81,90,15.66
207,Van Buren,US,1614148467,35.4368,-94.3483,55.0,62,1,4.61
208,Kulhudhuffushi,MV,1614148468,6.6221,73.07,82.11,66,10,5.01
209,Dingle,PH,1614148468,10.9995,122.6711,85.42,69,84,11.36
210,Itoman,JP,1614148468,26.1247,127.6694,75.2,60,20,11.5
211,Xinzhi,CN,1614148468,36.4989,111.7047,42.04,64,100,5.21
212,Carnarvon,AU,1614148469,-24.8667,113.6333,98.6,41,40,17.27
213,Alihe,CN,1614148469,50.5667,123.7167,8.37,84,100,5.01
214,Anshun,CN,1614148469,26.25,105.9333,66.56,65,39,18.9
215,Ostrovnoy,RU,1614148469,68.0531,39.5131,7.52,92,92,25.59
216,Nyrob,RU,1614148470,60.733,56.7202,-12.96,87,3,5.28
217,Barras,BR,1614148470,-4.2444,-42.2944,72.61,97,95,3.11
218,Kaitangata,NZ,1614148470,-46.2817,169.8464,63.0,70,100,15.01
219,General Roca,AR,1614148470,-39.0333,-67.5833,57.2,72,0,9.71
220,Tupiza,BO,1614148471,-21.45,-65.7167,56.26,82,53,3.91
221,Nome,US,1614148471,64.5011,-165.4064,5.0,61,75,6.91
222,Iqaluit,CA,1614148213,63.7506,-68.5145,21.2,86,90,18.41
223,Porto-Novo,BJ,1614148471,6.4965,2.6036,80.6,89,40,5.75
224,Cidreira,BR,1614148472,-30.1811,-50.2056,72.0,74,72,7.2
225,Mitsamiouli,KM,1614148472,-11.3847,43.2844,82.4,69,20,2.3
226,Yumen,CN,1614148472,40.2833,97.2,46.71,47,90,11.27
227,Acarí,PE,1614148473,-15.4311,-74.6158,71.73,62,98,1.52
228,Tessalit,ML,1614148473,20.1986,1.0114,58.23,32,0,12.8
229,Waingapu,ID,1614148473,-9.6567,120.2641,83.62,73,100,13.67
230,Bradford,GB,1614148474,53.7939,-1.7521,55.0,45,100,1.99
231,Sassandra,CI,1614148474,4.95,-6.0833,74.55,90,23,4.65
232,Montes Claros,BR,1614148398,-16.735,-43.8617,66.49,92,74,0.76
233,Panguipulli,CL,1614148474,-39.6333,-72.3333,50.0,87,23,2.3
234,Dayong,CN,1614148475,25.0209,118.2898,73.4,60,75,8.95
235,Harper,LR,1614148475,4.375,-7.7169,77.13,84,72,2.55
236,Talnakh,RU,1614148475,69.4865,88.3972,-26.64,81,24,5.06
237,Berezanka,UA,1614148476,46.8526,31.388,26.6,80,90,8.95
238,Departamento de Maldonado,UY,1614148476,-34.6667,-54.9167,57.2,94,0,3.44
239,Sfântu Gheorghe,RO,1614148476,45.8667,25.7833,39.99,82,52,0.38
240,Lorengau,PG,1614148476,-2.0226,147.2712,80.1,86,100,11.79
241,Avarua,CK,1614148477,-21.2078,-159.775,73.4,94,20,2.3
242,Kampot,KH,1614148477,10.6167,104.1833,84.2,69,40,8.05
243,Melipilla,CL,1614148444,-33.7,-71.2167,64.4,100,20,4.61
244,Diveyevo,RU,1614148478,55.0433,43.2418,-8.52,89,1,3.27
245,Winslow,US,1614148459,35.0242,-110.6974,46.99,26,1,11.5
246,Bang Saphan,TH,1614148478,11.2126,99.5117,87.8,58,0,5.75
247,Tsiroanomandidy,MG,1614148478,-18.7667,46.0333,77.97,65,0,5.35
248,Kindu,CD,1614148478,-2.95,25.95,71.17,95,100,3.83
249,Shimoda,JP,1614148479,34.6667,138.95,48.2,53,75,8.05
250,Ellisras,ZA,1614148479,-23.6649,27.7443,73.33,75,99,5.95
251,Sinjār,IQ,1614148469,36.3209,41.8754,48.9,49,0,6.44
252,George Town,MY,1614148429,5.4112,100.3354,93.2,55,20,10.36
253,Dragalina,RO,1614148480,44.4333,27.3167,35.01,88,39,1.99
254,Yekaterinoslavka,RU,1614148480,50.3734,129.1139,-4.38,88,38,4.76
255,Kismayo,SO,1614148480,-0.3582,42.5454,82.17,69,67,14.79
256,Chokurdakh,RU,1614148481,70.6333,147.9167,-28.5,85,100,7.43
257,San Patricio,US,1614148481,28.017,-97.5169,69.8,94,90,11.5
258,Manzanillo,CU,1614148481,20.3433,-77.1167,71.1,88,0,7.07
259,Malārd,IR,1614148481,35.6659,50.9767,46.4,65,20,11.5
260,Nouadhibou,MR,1614148482,20.931,-17.0347,64.4,72,0,16.11
261,Santa Cruz,MA,1614148482,30.4202,-9.5982,51.8,100,0,5.75
262,Suba,PH,1614148482,10.8438,121.0102,81.9,76,0,3.78
263,Tacuatí,PY,1614148482,-23.45,-56.5833,79.5,67,82,1.61
264,Sept-Îles,CA,1614148482,50.2001,-66.3821,26.6,100,90,3.56
265,Sokone,SN,1614148483,13.8833,-16.3667,77.0,33,0,6.91
266,Lebu,CL,1614148483,-37.6167,-73.65,56.53,86,5,16.53
267,Buraidah,SA,1614148483,26.326,43.975,53.6,94,0,9.22
268,Meulaboh,ID,1614148483,4.1363,96.1285,86.47,62,99,7.96
269,Aklavik,CA,1614148483,68.2191,-135.0107,-13.0,77,100,4.61
270,Road Town,VG,1614148315,18.4167,-64.6167,77.0,84,0,18.03
271,Abengourou,CI,1614148484,6.7297,-3.4964,71.6,92,60,0.76
272,Quatre Cocos,MU,1614148484,-20.2078,57.7625,84.99,61,75,11.5
273,Lagoa,PT,1614148484,39.05,-27.9833,52.59,68,0,19.8
274,Provideniya,RU,1614148484,64.3833,-173.3,3.2,85,90,22.37
275,Neuquén,AR,1614148485,-38.9516,-68.0591,57.2,72,0,6.4
276,Nebug,RU,1614148485,44.1714,39.0036,29.12,88,100,15.48
277,Sabang,ID,1614148485,5.8933,95.3214,81.23,72,61,7.9
278,Auki,SB,1614148485,-8.7676,160.7034,81.93,84,100,6.55
279,Ban Dung,TH,1614148486,17.699,103.2596,93.99,32,100,7.09
280,Shakawe,BW,1614148486,-18.3667,21.85,72.14,82,98,6.08
281,Kununurra,AU,1614148486,-15.7667,128.7333,93.2,47,75,6.91
282,Yining,CN,1614148486,29.0361,114.5636,66.76,76,98,1.32
283,Bafra,TR,1614148487,41.5678,35.9069,44.6,76,75,5.75
284,Atambua,ID,1614148487,-9.1061,124.8925,80.06,78,100,5.5
285,Mehamn,NO,1614148487,71.0357,27.8492,30.2,80,0,13.8
286,Codrington,AU,1614148487,-38.2667,141.9667,62.6,56,0,9.35
287,Okha,RU,1614148329,53.5739,142.9478,23.9,98,100,12.28
288,Pisco,PE,1614148488,-13.7,-76.2167,69.8,78,0,5.75
289,Puerto Escondido,MX,1614148488,15.85,-97.0667,75.2,88,1,5.77
290,Sukhumi,GE,1614148488,43.0033,41.0153,46.36,56,52,2.57
291,Llangefni,GB,1614148488,53.2556,-4.3106,48.2,100,75,24.16
292,Umm Kaddadah,SD,1614148489,13.6017,26.6876,65.19,25,0,21.32
293,Butaritari,KI,1614148489,3.0707,172.7902,81.5,81,24,17.56
294,Camabatela,AO,1614148489,-8.1881,15.375,65.08,100,100,2.77
295,Chu,KZ,1614148489,43.5983,73.7614,37.0,82,100,1.99
296,Olafsvik,IS,1614148490,64.8945,-23.7142,36.25,85,66,20.96
297,Labuhan,ID,1614148490,-6.8844,112.2051,78.71,87,100,14.58
298,Moen,NO,1614148217,69.1304,18.6123,23.0,80,0,1.14
299,Khandyga,RU,1614148490,62.6667,135.6,-19.25,84,100,1.3
300,São Joaquim,BR,1614148490,-28.2939,-49.9317,56.05,100,60,2.28
301,Pyapon,MM,1614148491,16.2833,95.6833,93.9,29,100,12.19
302,Floriano,BR,1614148491,-6.7669,-43.0225,72.77,93,81,1.54
303,Grindavik,IS,1614148491,63.8424,-22.4338,35.6,93,0,11.5
304,Avera,US,1614148491,33.194,-82.5271,45.0,93,1,5.37
305,Nuuk,GL,1614148492,64.1835,-51.7216,19.4,73,20,9.22
306,Port Alfred,ZA,1614148343,-33.5906,26.891,72.0,72,0,4.0
307,Guerrero Negro,MX,1614148492,27.9769,-114.0611,59.4,60,0,8.75
308,Tamási,HU,1614148492,46.6333,18.2833,46.0,71,0,3.36
309,Tocoa,HN,1614148492,15.6833,-86.0,68.67,90,21,1.97
310,Plateros,MX,1614148493,23.2167,-102.85,52.25,42,65,5.5
311,Henties Bay,NA,1614148493,-22.116,14.2845,61.0,90,34,4.0
312,Morgan City,US,1614148493,29.6994,-91.2068,46.4,93,1,4.83
313,Vila Velha,BR,1614148494,-20.3297,-40.2925,75.99,94,40,9.51
314,Outjo,NA,1614148494,-20.1167,16.15,71.92,49,75,8.41
315,Oodweyne,SO,1614148494,9.4092,45.064,76.21,25,44,3.36
316,Khonsa,IN,1614148494,27.0167,95.5667,74.34,37,25,3.91
317,Vao,NC,1614148494,-22.6667,167.4833,78.55,82,71,18.39
318,Digha,IN,1614148495,21.6833,87.55,88.0,25,0,3.31
319,Nouakchott,MR,1614148201,18.0858,-15.9785,60.8,51,0,6.91
320,Weihai,CN,1614148495,37.5017,122.1136,36.59,48,100,8.79
321,Ulaanbaatar,MN,1614148390,47.9077,106.8832,24.8,54,0,2.24
322,Iisalmi,FI,1614148496,63.5592,27.1907,8.6,92,90,4.61
323,Krasnosel'kup,RU,1614148496,65.7,82.4667,-22.02,84,100,5.26
324,Ribeira do Pombal,BR,1614148496,-10.8344,-38.5358,71.15,86,13,4.25
325,Ahipara,NZ,1614148496,-35.1667,173.1667,68.22,80,69,6.13
326,Evensk,RU,1614148497,61.95,159.2333,-6.34,72,0,10.33
327,Safaga,EG,1614148497,26.7292,33.9365,53.6,66,0,11.5
328,Ndélé,CF,1614148497,8.4109,20.6473,77.56,18,100,10.78
329,Byron Bay,AU,1614148419,-28.65,153.6167,73.99,94,90,9.22
330,Warrington,GB,1614148497,53.3925,-2.5802,55.4,94,90,14.97
331,Charlestown,AU,1614148498,-32.95,151.6667,72.0,89,75,9.26
332,Karratha,AU,1614148498,-20.7377,116.8463,97.16,41,99,14.38
333,Christchurch,NZ,1614148213,-43.5333,172.6333,81.0,41,100,11.5
334,Kerema,PG,1614148498,-7.9631,145.7785,82.11,77,100,6.69
335,Bakaly,RU,1614148498,55.1789,53.8028,-12.78,91,86,17.96
336,Kul'dur,RU,1614148499,49.2167,131.6333,-0.67,86,92,7.16
337,Balkanabat,TM,1614148499,39.5108,54.3671,29.84,74,100,8.43
338,Tak,TH,1614148499,16.5833,98.8333,89.6,45,20,6.91
339,Bridlington,GB,1614148413,54.0831,-0.1919,53.01,84,100,11.99
340,Husavik,IS,1614148500,66.0449,-17.3389,33.8,100,90,6.91
341,Dalbandin,PK,1614148500,28.8947,64.4101,79.18,17,0,6.69
342,Gaozhou,CN,1614148500,21.9392,110.8461,80.29,50,95,14.65
343,Tutóia,BR,1614148500,-2.7619,-42.2744,77.23,89,39,5.93
344,Stokmarknes,NO,1614148269,68.5646,14.9108,41.0,56,75,17.27
345,Ejby,DK,1614148501,55.4858,12.0817,45.0,87,100,9.22
346,Aksarka,RU,1614148501,66.5606,67.7975,-1.35,92,93,4.05
347,Doha,QA,1614148501,25.2867,51.5333,73.99,53,0,16.11
348,San Angelo,US,1614148502,31.4638,-100.437,63.0,67,1,11.5
349,Abaza,RU,1614148333,52.655,90.0928,13.91,91,100,3.91
350,Laguna,US,1614148502,38.421,-121.4238,62.6,20,1,16.11
351,Lavrentiya,RU,1614148503,65.5833,-171.0,-5.24,87,100,14.18
352,Hollabrunn,AT,1614148503,48.55,16.0833,39.0,100,90,2.3
353,San,ML,1614148503,13.3034,-4.8956,65.75,22,2,6.91
354,Napier City,NZ,1614148504,-39.4833,176.9167,77.0,55,0,5.01
355,Amapá,BR,1614148504,1.0,-52.0,70.05,98,95,1.52
356,Yulara,AU,1614148240,-25.2406,130.9889,89.6,12,0,6.91
357,Gloucester,GB,1614148209,51.8657,-2.2431,55.99,80,98,38.99
358,Tysmenytsya,UA,1614148505,48.9022,24.8448,30.2,100,69,2.24
